name,artist
Raized By Wolves,The Call {Ft. Tom Smith}
Rapture** The,Blue Bird
Rapture** The,How Deep Is Your Love
Rapture** The,Miss You
Rapture** The,Never Die Again
Rapture** The,Sail Away
Rat Vs Possum,Fat Monk
Real Estate,It's Real
Red Hot Chili Peppers,Ethiopia
Red Hot Chili Peppers,The Adventures Of Raindance Maggie
Redcoats,Dreamshaker
Redcoats,Kay Trucker
Regurgitator,One Day
Rescue Ships** The,On The Air
Richard In Your Mind,Maybe When The Sun Comes Down
Rise Against,Architects
Rise Against,Endgame
Rise Against,Help Is On The Way
Rise Against,Make It Stop (September's Children)
Rockets,Madeline
Roots Manuva  ,Here We Go Again {Ft. Spikey Tee}
Roots Manuva & Toddla T,Watch Me Dance
Roots** The,Make My {Ft. Big K.R.I.T/Dice Raw}
Royal Bangs,Fireball
Royal Headache,Surprise
Royston Vasie,That's My Girl
Royston Vasie,Wreck Your Health
Ru C.L,Good Life
Rubens** The,Lay It Down
Ruby Frost,Odyssey
Rufus,Paris Collides
Ruminaters** The,Deadstuff
Rusko,Everyday
Russ Chimes,Helix
Russ Chimes,Tonic
S.mouse,Slap My Elbow
San Cisco,Awkward
San Cisco,Golden Revolver
Santigold,Go {Ft. Karen O}
SBTRKT ,Hold On {Ft. Sampha}
SBTRKT,Pharaohs {Ft. Roses Gabor}
SBTRKT,Ready Set Loop
SBTRKT,Right Thing To Do {Ft. Jessie Ware}
SBTRKT,Sanctuary
SBTRKT,Wildfire {Ft. Little Dragon}
Scenic,Another Sky
Scientists Of Modern Music,Because If I Die
Seabellies,Board The Apartment Up
SebastiAn,Embody
Seekae,Sir
Seeker Lover Keeper,Bring Me Back
Seeker Lover Keeper,Even Though I'm A Woman
Seeker Lover Keeper,Everytime
Seeker Lover Keeper,Going To Sleep
Seeker Lover Keeper,If The Night Is Dark
Seeker Lover Keeper,Light All My Lights
Seeker Lover Keeper,On My Own
Seeker Lover Keeper,Rely On Me
Seeker Lover Keeper,Theme I
Seun Kuti,You Can Ru
Seven,Good Thing {Ft. Mr Hill}
Shabazz Palaces,Swerve...The Reeping Of All That Is Worthwhile (Noir Not Withstanding)
Sharon Van Etten,Serpent
ShockOne,Crucify Me {Ft. Phetsta}
ShockOne,Relapse {Ft. Sam Nafie}
Sietta,No Longer Hurt
Sietta,What Am I Supposed To Do?
Simplex,I Have Nothing
Single Twin,Came Home Dead
Skipping Girl Vinegar,Chase The Sun
Skipping Girl Vinegar,You Can
Skrillex,First Of The Year (Equinox)
Skrillex,Scary Monsters And Nice Sprites
Slow Club,Two Cousins
Smith Westerns,End Of The Night
Smith Westerns,Fallen In Love
Smith Westerns,Imagine Pt. 3
Smith Westerns,Only One
Smith Westerns,Smile
Smith Westerns,Still New
Snakadaktal,Air
Snakadaktal,Boy
Snakadaktal,Chimera
Sonpsilo Circus,Silverspoon
Sons Of Rico,Miss Adventure
South Central,Demons
Spank Rock,Car Song {Ft. Santigold}
Spank Rock,Energy
Spank Rock,The Dance
Sparkadia,China
Sparkadia,Fingerprints
Sparkadia,I Started Something I Couldn't Finish
Sparkadia,Love Less Love
Sparkadia,Mary
Sparkadia,Shoot Straight
Sparkadia,The Great Impression
Sparkadia,The Lost Ones
Split Seconds,All You Gotta Do
St Vincent,Cruel
Stanton Warriors,Get Up {Ft. Hollywood Holt/Ruby Goe}
Stanton Warriors,Turn Me Up Some
Ste,anther - My Neck
Ste,anther - No Fun
Sticky Fingers,Happy Endings
Sticky Fingers,Juicy Ones
Stoics** The,Everything Else Is Easy
Stonefield,Black Water Rising
Stonefield,Magic Carpet Ride {Like A Version}
Strange Talk,Eskimo Boy
Strange Talk,Sexual Lifestyle
Strangers,Bred For Breeding
Strokes** The,Call Me Back
Strokes** The,Games
Strokes** The,Gratisfaction
Strokes** The,Life Is Simple In The Moonlight
Strokes** The,Machu Pichu
Strokes** The,Taken For A Fool
Strokes** The,Two Kinds Of Happiness
Strokes** The,Under Cover Of Darkness
Subs** The,Decontrol
Subs** The,Don't Stop
Subs** The,Hannibal And The Battle Of Zama
Subs** The,Itch
Subs** The,The Face Of The Planet
Sun (Or The Pos,odern Prometheus)
Surkin,Ultra Light
Suuns,Gaze
Sweet Apes** The,Police Cops
Swiss** The,Double Or Nothing
Switch,What Did She Say
Talib Kweli,Ain't Waiting {Ft. Outasight}
Talib Kweli,Gutter Rainbows
Talib Kweli,How You Love Me {Ft. Blaq Toven}
Talib Kweli,Mr. International {Ft. Nigel Hall}
Talib Kweli,Palookas {Ft. Sean Price}
Talib Kweli,So Low
Talib Kweli,Uh Oh {Ft. Jean Grae}
Tame Impala,Why Won't You Make Up Your Mind {Erol Alkan Remix}
Tara Simmons,Be Gone
Teeth & Tongue,Unfamiliar Skirts
Texture Like Sun,Bottle
Them Swoops,Too Fast For Love
Theophilus London,Why Even Try {Ft. Sara Quin}
Theophilus London,Wine & Chocolates
Thievery Corporation,Culture Of Fear
Those Darlins,Screws Get Loose
Thrice,Yellow Belly
Thundamentals,How You Been? {Ft. Jace Excell}
Thundamentals,Paint The Town Red
Thursday,No Answers
Tiger Choir,Ephemeral City
Tijuana Cartel,Keep Off The Chemicals
Tijuana Cartel,Letting It Go
Tim & Jean,I Can Show You
Tin Can Radio,Skeletons
Tinpan Orange,Barcelona
Tiny Ruins,Little Notes
Tiny Ruins,You've Got The Kind Of Nerve I Like
Title Fight,Shed
Tom Ugly,California
Tom Ugly,I Was Somebody Else {Ft. Pez}
Tom Vek,A Chore
Tom Waits,Bad As Me
Tom Waits,Raised Right Men
Tonite Only,We Run The Nigh
Toro Y Moi,Still Sound
Total Control,One More Tonight
Totally Enormous Extinct Dinosaurs,Garden
Toucan,Brave New World
Trial Kennedy,Best Of Tomorrow
Trial Kennedy,Living Undesigned
Trouble With Templeton** The,Bleeders
Trouble With Templeton** The,I Wrote A Novel
tUn,ArDs - Bizness
tUn,ArDs - Gangsta
TV On The Radio,Caffeinated Consciousness
TV On The Radio,Keep Your Heart
TV On The Radio,New Cannonball Blues
TV On The Radio,No Future Shock
TV On The Radio,Repetition
TV On The Radio,Second Song
TV On The Radio,Will Do
TV On The Radio,You
Twerps** The,Dreamin
Tycho,Dive
Tyler** The Creator,Analog {Ft. Hodgy Beats}
Tyler** The Creator,Her 
Tyler** The Creator,Nightmare
Tyler** The Creator,Sandwitches {Ft. Hodgy Beats}
Tyler** The Creator,Yonkers
U.N.K.L.E.,Money And Run {Ft. Nick Cave}
Underlights,Now That You're In Love
Unicorn Kid ,True Love Fantasy
Unknown Mortal Orchestra,Ffunny Ffriends
Unknown Mortal Orchestra,How Can You Love Me
Unwritten Law,Starships And Apocalypse
Urthboy,O Children {Straight To You: triple j's tribute To You: triple j's tribute To Ni
Vacant Field,Peppermint Tongue
Vaccines** The ,If You Wanna
Vaccines** The ,Norgaard
Vasco Era** The,Child Bearing Hips
Vasco Era** The,Rock And Roll Is The Only Thing That Makes 
Velociraptor,In The Springtime
Vents,History Of The World
VHS Or Beta,Breaking Bones
Vid,unshyne - Woman Run Tings
View** The,Grace
Vines** The ,Clint Eastwood {Like A Version}
Vines** The ,Future Primitive
Vines** The ,Gimme Love
Vivian Girls,I Heard You Say
Voltaire Twins,Animalia
Washed Out,Amor Fati
Washington,Holy Moses
Washington,Plastic Bag   
Wavves,I Wanna Meet Dave Grohl
We Are Augustines,Chapel Song
We Are The Ocean,The Waiting Room  
Weeknd** The ,House Of Balloons/Glass Table Girls
Weeknd** The ,Life Of The Party
Whip** The,Secret Weapon
White Denim,Drug
White Goods** The,Gina
Wilco,Born Alone
Wilco,I Might
Wild Beasts,Bed Of Nails
Wild Flag,Romance
Wiley,Numbers In Action
WIM ,Colossus
WIM ,See You Hurry
Win Win,Releaserpm {Ft. Lizzie Bougatsos}
Winter People,Wishingbone
Witch Hats,Hear Martin
Woe & Flutter,Cities Of The Red Night
Wolf Gang,Dancing With The Devil
Wolves,Mina
Wombats** The,1996
Wombats** The,Anti D
Wombats** The,Jump Into The Fog
Wombats** The,Last Night I Dreamt
Wombats** The,Our Perfect Disease
Wombats** The,Techno Fan
Wombats** The,Walking Disasters
Wu Lyf,Dirt
Wu Lyf,We Bros
Wye Oak,Civilian
Yelle,Safari Disco Club
Yesyou,Half Of It
Yolanda Be Cool,Le Bump {Ft. Crystal Waters}
You Me At Six,Bite My Tongue {Ft. Oli Sykes}
You Me At Six,Loverboy
Young Guns,Crystal Clear
Young The Giant,Apartment
Young The Giant,My Body
Youth Lagoon,Cannons
Yuck,Holing Out
Yuksek,Always On The Run
Yuksek,Miracle
Yuksek,Off The Wall
Yuksek,On A Train
Yuksek,Say A Word
Yuksek,The Edge
Yuksek,White Keys
Zowie,Smash It
Zowie Vs Sebastien Grainger,Love Or Hat
